Opcode,Mnemonic,2BOP,MRM,IMM,OP,EIP,Sreg,1U,OSO,DS,imx,EF,EIP.MUX,FAR.BR,LD.SREG,SREG.MUX,OSO.AFF,OP.DECIMAL
21 /r,"AND r/m32,r32",0,1,0,21,0,0,1,0,10,XX,1,XX,0,0,X,1,33
22 /r,"AND r8,r/m8",0,1,0,22,0,0,1,0,00,XX,1,XX,0,0,X,0,34
23 /r,"AND r16,r/m16",0,1,0,23,0,0,1,1,01,XX,1,XX,0,0,X,1,35
23 /r,"AND r32,r/m32",0,1,0,23,0,0,1,0,10,XX,1,XX,0,0,X,1,35
24 ib,"AND AL,imm8",0,0,1,24,0,0,1,0,00,00,1,XX,0,0,X,0,36
25 iw,"AND AX,imm16",0,0,2,25,0,0,1,1,01,01,1,XX,0,0,X,1,37
25 id,"AND EAX,imm32",0,0,4,25,0,0,1,0,10,11,1,XX,0,0,X,1,37
37,AAA,0,0,0,37,0,0,1,0,00,XX,1,XX,0,0,X,0,55
0F 42 /r,"CMOVC r16, r/m16",1,1,0,42,0,0,1,1,01,XX,0,XX,0,0,X,1,66
0F 42 /r,"CMOVC r32, r/m32",1,1,0,42,0,0,1,0,10,XX,0,XX,0,0,X,1,66
50+rw,PUSH r16,0,0,0,50,0,0,1,1,01,XX,0,XX,0,0,X,1,80
50+rd,PUSH r32,0,0,0,50,0,0,1,0,10,XX,0,XX,0,0,X,1,80
58+ rw,POP r16,0,0,0,58,0,0,1,1,01,XX,0,XX,0,0,X,1,88
58+ rd,POP r32,0,0,0,58,0,0,1,0,10,XX,0,XX,0,0,X,1,88
0F 63 /r,"PACKSSWB mm1, mm/m64",1,0,0,63,0,0,1,0,11,XX,0,XX,0,0,X,0,99
68,PUSH imm16,0,0,2,68,0,0,1,1,01,01,0,XX,0,0,X,1,104
68,PUSH imm32,0,0,4,68,0,0,1,0,10,11,0,XX,0,0,X,1,104
6A,PUSH imm8,0,0,1,6A,0,0,1,0,01/10,00,0,XX,0,0,X,1,106
0F 6B /r,"PACKSSDW mm1, mm/m64",1,0,0,6B,0,0,1,0,11,XX,0,XX,0,0,X,0,107
0F 6F /r,"MOVQ mm, mm/m64",1,0,0,6F,0,0,1,0,11,XX,0,XX,0,0,X,0,111
75 cb,JNE rel8,0,0,1,75,1,0,1,0,01/10/XX,00,0,00,0,0,X,1,117
77 cb,JNBE rel8,0,0,1,77,1,0,1,0,01/10/XX,00,0,00,0,0,X,1,119
0F 7F /r,"MOVQ mm/m64, mm",1,0,0,7F,0,0,1,0,11,XX,0,XX,0,0,X,0,127
80 /0 ib,"ADD r/m8,imm8",0,1,1,80,0,0,1,1,00,00,1,XX,0,0,X,0,128
80 /4 ib,"AND r/m8,imm8",0,1,1,80,0,0,1,1,00,00,1,XX,0,0,X,0,128
80 /1 ib,"OR r/m8,imm8",0,1,1,80,0,0,1,0,00,00,1,XX,0,0,X,0,128
81 /2 id,"ADC r/m32,imm32",0,1,4,81,0,0,1,1,10,11,0,XX,0,0,X,0,129
81 /0 iw,"ADD r/m16,imm16",0,1,2,81,0,0,1,1,01,01,1,XX,0,0,X,1,129
81 /0 id,"ADD r/m32,imm32",0,1,4,81,0,0,1,1,10,11,1,XX,0,0,X,1,129
81 /4 iw,"AND r/m16,imm16",0,1,2,81,0,0,1,1,01,01,1,XX,0,0,X,1,129
81 /4 id,"AND r/m32,imm32",0,1,4,81,0,0,1,1,10,11,1,XX,0,0,X,1,129
81 /1 iw,"OR r/m16,imm16",0,1,2,81,0,0,1,1,01,01,1,XX,0,0,X,1,129
81 /1 id,"OR r/m32,imm32",0,1,4,81,0,0,1,1,10,11,1,XX,0,0,X,1,129
81 /3 id,"SBB r/m32,imm32",0,1,4,81,0,0,1,0,10,11,1,XX,0,0,X,0,129
83 /2 ib,"ADC r/m32,imm8",0,1,1,83,0,0,1,1,10,00,0,XX,0,0,X,0,131
83 /0 ib,"ADD r/m16,imm8",0,1,1,83,0,0,1,1,01,00,1,XX,0,0,X,1,131
83 /0 ib,"ADD r/m32,imm8",0,1,1,83,0,0,1,1,10,00,1,XX,0,0,X,1,131
83 /4 ib,"AND r/m16,imm8",0,1,1,83,0,0,1,1,01,00,1,XX,0,0,X,1,131
