Opcode,Mnemonic,2BOP,1U,OSO,OSO.AFF,MRM,IMM,OP,LD.EIP,EIP.MUX,DS,imx,LD.EFLAGS,LD.CS,CS.MUX,LD.SREG,SREG.MUX,OPDec,,,,,,,
55 rw,PUSH r16,0,1,1,1,0,0,55,0,XXX,01,XX,0,0,XX,0,X,85,,,,,,,
56 rw,PUSH r16,0,1,1,1,0,0,56,0,XXX,01,XX,0,0,XX,0,X,86,,,,,,,
57 rw,PUSH r16,0,1,1,1,0,0,57,0,XXX,01,XX,0,0,XX,0,X,87,,,,,,,
50+rd,PUSH r32,0,1,0,1,0,0,50,0,XXX,10,XX,0,0,XX,0,X,80,,,,,,,
50 rd,PUSH r32,0,1,0,1,0,0,50,0,XXX,10,XX,0,0,XX,0,X,80,,,,,,,
51 rd,PUSH r32,0,1,0,1,0,0,51,0,XXX,10,XX,0,0,XX,0,X,81,,,,,,,
52 rd,PUSH r32,0,1,0,1,0,0,52,0,XXX,10,XX,0,0,XX,0,X,82,,,,,,,
53 rd,PUSH r32,0,1,0,1,0,0,53,0,XXX,10,XX,0,0,XX,0,X,83,,,,,,,
54 rd,PUSH r32,0,1,0,1,0,0,54,0,XXX,10,XX,0,0,XX,0,X,84,,,,,,,
55 rd,PUSH r32,0,1,0,1,0,0,55,0,XXX,10,XX,0,0,XX,0,X,85,,,,,,,
56 rd,PUSH r32,0,1,0,1,0,0,56,0,XXX,10,XX,0,0,XX,0,X,86,,,,,,,
57 rd,PUSH r32,0,1,0,1,0,0,57,0,XXX,10,XX,0,0,XX,0,X,87,,,,,,,
6A,PUSH imm8 (16-bit push),0,1,1,1,0,1,6A,0,XXX,01,00,0,0,XX,0,X,106,,,,,,,
6A,PUSH imm8,0,1,0,1,0,1,6A,0,XXX,10,00,0,0,XX,0,X,106,,,,,,,
68,PUSH imm16,0,1,1,1,0,2,68,0,XXX,01,01,0,0,XX,0,X,104,,,,,,,
68,PUSH imm32,0,1,0,1,0,4,68,0,XXX,10,11,0,0,XX,0,X,104,,,,,,,
0E,PUSH CS (16-bit push),0,1,1,1,0,0,0E,0,XXX,01,XX,0,0,XX,0,X,14,,,,,,,
0E,PUSH CS,0,1,0,1,0,0,0E,0,XXX,10,XX,0,0,XX,0,X,14,,,,,,,
16,PUSH SS (16-bit push),0,1,1,1,0,0,16,0,XXX,01,XX,0,0,XX,0,X,22,,,,,,,
16,PUSH SS,0,1,0,1,0,0,16,0,XXX,10,XX,0,0,XX,0,X,22,,,,,,,
1E,PUSH DS (16-bit push),0,1,1,1,0,0,1E,0,XXX,01,XX,0,0,XX,0,X,30,,,,,,,
1E,PUSH DS,0,1,0,1,0,0,1E,0,XXX,10,XX,0,0,XX,0,X,30,,,,,,,
06,PUSH ES (16-bit push),0,1,1,1,0,0,06,0,XXX,01,XX,0,0,XX,0,X,6,,,,,,,
06,PUSH ES,0,1,0,1,0,0,06,0,XXX,10,XX,0,0,XX,0,X,6,,,,,,,
0F A0,PUSH FS (16-bit push),1,1,1,1,0,0,A0,0,XXX,01,XX,0,0,XX,0,X,160,,,,,,,
0F A0,PUSH FS,1,1,0,1,0,0,A0,0,XXX,10,XX,0,0,XX,0,X,160,,,,,,,
0F A8,PUSH GS (16-bit push),1,1,1,1,0,0,A8,0,XXX,01,XX,0,0,XX,0,X,168,,,,,,,
0F A8,PUSH GS,1,1,0,1,0,0,A8,0,XXX,10,XX,0,0,XX,0,X,168,,,,,,,
F3 A4,"REP MOVS m8,m8",0,0,1,1,0,0,A4,0,XXX,00,XX,0,0,XX,0,X,243,,,,,,,
F3 A5,"REP MOVS m16,m16",0,0,1,1,0,0,A5,0,XXX,01,XX,0,0,XX,0,X,243,,,,,,,
F3 A5,"REP MOVS m32,m32",0,0,1,1,0,0,A5,0,XXX,10,XX,0,0,XX,0,X,243,,,,,,,
F3 A7,"REPE CMPS m32,m32",0,0,0,1,0,0,A7,0,XXX,10,XX,1,0,XX,0,X,243,,,,,,,
C3,"RET (near, 16-bit pop)",0,1,1,1,0,0,C3,1,010,01,XX,0,0,XX,0,X,195,,,,,,,
C3,RET,0,1,0,1,0,0,C3,1,010,10,XX,0,0,XX,0,X,195,,,,,,,
CB,"RET (far, 16-bit pop)",0,1,1,1,0,0,CB,1,010,10,XX,0,1,01,0,X,203,,,,,,,
CB,RET,0,1,0,1,0,0,CB,1,010,11,XX,0,1,10,0,X,203,,,,,,,
C2 iw,"RET imm16 (near, 16-bit pop)",0,1,1,1,0,2,C2,1,010,01,10,0,0,XX,0,X,194,,,,,,,
C2 iw,RET imm16,0,1,0,1,0,2,C2,1,010,10,10,0,0,XX,0,X,194,,,,,,,
CA iw,"RET imm16 (far, 16-bit pop)",0,1,1,1,0,2,CA,1,010,10,10,0,1,01,0,X,202,,,,,,,
CA iw,RET imm16,0,1,0,1,0,2,CA,1,010,11,10,0,1,10,0,X,202,,,,,,,
D0 /4,"SAL r/m8,1",0,1,0,0,1,0,D0,0,XXX,00,XX,1,0,XX,0,X,208,,,,,,,
D2 /4,"SAL r/m8,CL",0,1,0,0,1,0,D2,0,XXX,00,XX,1,0,XX,0,X,210,,,,,,,
C0 /4 ib,"SAL r/m8,imm8",0,1,0,0,1,1,C0,0,XXX,00,00,1,0,XX,0,X,192,,,,,,,
D1 /4,"SAL r/m16,1",0,1,0,0,1,0,D1,0,XXX,01,XX,1,0,XX,0,X,209,,,,,,,
D3 /4,"SAL r/m16,CL",0,1,0,0,1,0,D3,0,XXX,01,XX,1,0,XX,0,X,211,,,,,,,
C1 /4 ib,"SAL r/m16,imm8",0,1,0,0,1,1,C1,0,XXX,01,00,1,0,XX,0,X,193,,,,,,,
